Timestamp,Mean_ACC_X,Std_ACC_X,Min_ACC_X,Max_ACC_X,Range_ACC_X,Median_ACC_X,Skewness_ACC_X,Kurtosis_ACC_X,Energy_ACC_X,Entropy_ACC_X,Mean_ACC_Y,Std_ACC_Y,Min_ACC_Y,Max_ACC_Y,Range_ACC_Y,Median_ACC_Y,Skewness_ACC_Y,Kurtosis_ACC_Y,Energy_ACC_Y,Entropy_ACC_Y,Mean_ACC_Z,Std_ACC_Z,Min_ACC_Z,Max_ACC_Z,Range_ACC_Z,Median_ACC_Z,Skewness_ACC_Z,Kurtosis_ACC_Z,Energy_ACC_Z,Entropy_ACC_Z,Activity
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",2036.75,7.674403211094961,2015.0,2055.0,40.0,2037.0,-0.24683555652053718,-0.057915331923263924,414840887.0,6.643846047663199,2036.75,7.674403211094961,2015.0,2055.0,40.0,2037.0,-0.24683555652053718,-0.057915331923263924,414840887.0,6.643846047663199,2036.75,7.674403211094961,2015.0,2055.0,40.0,2037.0,-0.24683555652053718,-0.057915331923263924,414840887.0,6.643846047663199,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",87.68,10.661817079388644,56.0,110.0,54.0,87.0,-0.130994652286626,-0.09252681076873648,780032.0,6.6331618233738725,87.68,10.661817079388644,56.0,110.0,54.0,87.0,-0.130994652286626,-0.09252681076873648,780032.0,6.6331618233738725,87.68,10.661817079388644,56.0,110.0,54.0,87.0,-0.130994652286626,-0.09252681076873648,780032.0,6.6331618233738725,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",38.68,14.898227133359587,9.0,63.0,54.0,44.5,-0.2713645973241387,-1.3842799814224596,171588.0,6.5286216144179745,38.68,14.898227133359587,9.0,63.0,54.0,44.5,-0.2713645973241387,-1.3842799814224596,171588.0,6.5286216144179745,38.68,14.898227133359587,9.0,63.0,54.0,44.5,-0.2713645973241387,-1.3842799814224596,171588.0,6.5286216144179745,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-1.53,18.817816079986592,-46.0,40.0,86.0,-2.0,-0.015946815021425753,0.26917364650495745,35291.0,14.509805798674497,-1.53,18.817816079986592,-46.0,40.0,86.0,-2.0,-0.015946815021425753,0.26917364650495745,35291.0,14.509805798674497,-1.53,18.817816079986592,-46.0,40.0,86.0,-2.0,-0.015946815021425753,0.26917364650495745,35291.0,14.509805798674497,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-0.96,9.192574957183343,-24.0,19.0,43.0,0.0,-0.04543067352755657,-0.1772743455056638,8458.0,13.280213442272444,-0.96,9.192574957183343,-24.0,19.0,43.0,0.0,-0.04543067352755657,-0.1772743455056638,8458.0,13.280213442272444,-0.96,9.192574957183343,-24.0,19.0,43.0,0.0,-0.04543067352755657,-0.1772743455056638,8458.0,13.280213442272444,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",0.17,21.720936695020566,-39.0,38.0,77.0,0.0,-0.06250383553995124,-1.1780616708824037,46711.0,-23.72347687495474,0.17,21.720936695020566,-39.0,38.0,77.0,0.0,-0.06250383553995124,-1.1780616708824037,46711.0,-23.72347687495474,0.17,21.720936695020566,-39.0,38.0,77.0,0.0,-0.06250383553995124,-1.1780616708824037,46711.0,-23.72347687495474,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-87.2691,0.24975986446783222,-88.08,-86.67,1.4099999999999966,-87.265,-0.1899049412047761,0.5365152384105594,761595.7570999998,6.643850341484001,-87.2691,0.24975986446783222,-88.08,-86.67,1.4099999999999966,-87.265,-0.1899049412047761,0.5365152384105594,761595.7570999998,6.643850341484001,-87.2691,0.24975986446783222,-88.08,-86.67,1.4099999999999966,-87.265,-0.1899049412047761,0.5365152384105594,761595.7570999998,6.643850341484001,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",2.4643,0.2983159974648265,1.57,3.09,1.5199999999999998,2.45,-0.13976737086823887,-0.07544284274373325,616.0876999999999,6.633254024354413,2.4643,0.2983159974648265,1.57,3.09,1.5199999999999998,2.45,-0.13976737086823887,-0.07544284274373325,616.0876999999999,6.633254024354413,2.4643,0.2983159974648265,1.57,3.09,1.5199999999999998,2.45,-0.13976737086823887,-0.07544284274373325,616.0876999999999,6.633254024354413,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",2.4645,0.29852964592306325,1.57,3.09,1.5199999999999998,2.45,-0.13848956663101772,-0.07715091599277368,616.1989,6.6332410090280955,2.4645,0.29852964592306325,1.57,3.09,1.5199999999999998,2.45,-0.13848956663101772,-0.07715091599277368,616.1989,6.6332410090280955,2.4645,0.29852964592306325,1.57,3.09,1.5199999999999998,2.45,-0.13848956663101772,-0.07715091599277368,616.1989,6.6332410090280955,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",301.42,0.49604496374885765,301.0,302.0,1.0,301.0,0.3291340867338382,-1.9306966095564657,9085426.0,6.643854256021461,301.42,0.49604496374885765,301.0,302.0,1.0,301.0,0.3291340867338382,-1.9306966095564657,9085426.0,6.643854256021461,301.42,0.49604496374885765,301.0,302.0,1.0,301.0,0.3291340867338382,-1.9306966095564657,9085426.0,6.643854256021461,"0    1
Name: ACTIVITY_CODE, dtype: int32"
